year,new_firms,total_firms,new_firm_rate
1978,486647.0,3558681.0,13.67492618753971
1979,473380.0,3691766.0,12.82258951406996
1980,439668.0,3739254.0,11.758174224056456
1981,430123.0,3768275.0,11.414320876263012
1982,418619.0,3741795.0,11.18765191572494
1983,456601.0,3830603.0,11.919820456465992
1984,529546.0,4001185.0,13.234729211471102
1985,512394.0,4072945.0,12.58043013102313
1986,516869.0,4157330.0,12.432715228283538
1987,513561.0,4223741.0,12.158913153055549
1988,506971.0,4307924.0,11.768336674463152
1989,502522.0,4381671.0,11.46872962392658
1990,493044.0,4445193.0,11.091621893582573
1991,450715.0,4412309.0,10.214946414677668
1992,438713.0,4413561.0,9.94011411646967
1993,461085.0,4495325.0,10.256989205452332
1994,475990.0,4575061.0,10.40401428527401
1995,495005.0,4673781.0,10.591103862162134
1996,493282.0,4721280.0,10.448056459265285
1997,494458.0,4776188.0,10.35256568627533
1998,477230.0,4853365.0,9.832971556847673
1999,451324.0,4882920.0,9.24291202804879
2000,446304.0,4902688.0,9.103251114490662
2001,437114.0,4913026.0,8.897042270893744
2002,455358.0,4929588.0,9.237242544407362
2003,467758.0,4992505.0,9.36920443745174
2004,505310.0,5085554.0,9.936183943774857
2005,519120.0,5167197.0,10.046452651214963
2006,541739.0,5256390.0,10.306293863278789
2007,509920.0,5293177.0,9.633533887115432
2008,471836.0,5232233.0,9.017870572659895
2009,395776.0,5090292.0,7.775113883447157
2010,379685.0,5018813.0,7.565235046613612
2011,396299.0,4995859.0,7.9325497376927565
2012,409166.0,5042675.0,8.114066442909765
2013,406028.0,5067524.0,8.012354751551252
2014,412783.0,5104509.0,8.086634777213636
2015,422014.0,5151116.0,8.192671258034181
2016,443293.0,5216688.0,8.497594642424465
2017,440723.0,5251809.0,8.391832223906086
2018,442872.0,5286921.0,8.376747070743065
2019,454035.0,5335794.0,8.509230303868552
2020,456726.0,5340972.0,8.551364807754094
2021,486201.0,5397456.0,9.007965975081595
2022,519559.0,5535295.0,9.386292871472975
